number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_input_chunk_length,params_lr,params_lstm_layers,params_n_epochs,params_num_attention_heads,params_output_chunk_length,state
19,270.6866760253906,2025-05-10 21:03:25.917705,2025-05-10 21:18:01.028488,0 days 00:14:35.110783,128,0.2,40,72,0.01,2,30,1,48,COMPLETE
39,284.7579345703125,2025-05-11 04:22:21.350410,2025-05-11 05:08:54.109390,0 days 00:46:32.758980,128,0.4,320,96,0.0001,2,30,1,48,COMPLETE
0,284.9240417480469,2025-05-10 12:06:59.887338,2025-05-10 12:41:01.156739,0 days 00:34:01.269401,128,0.4,40,72,0.001,3,30,4,48,COMPLETE
23,288.19940185546875,2025-05-10 22:09:14.664089,2025-05-10 22:31:00.954125,0 days 00:21:46.290036,128,0.5,40,72,0.01,2,30,1,48,COMPLETE
28,290.2784423828125,2025-05-10 23:36:33.920126,2025-05-10 23:47:40.729565,0 days 00:11:06.809439,128,0.2,40,48,0.01,2,30,4,48,COMPLETE
29,290.8540954589844,2025-05-10 23:47:40.794927,2025-05-11 00:09:10.848258,0 days 00:21:30.053331,128,0.5,20,72,0.01,1,30,1,48,COMPLETE
27,293.2291564941406,2025-05-10 23:21:57.897928,2025-05-10 23:36:33.860163,0 days 00:14:35.962235,128,0.4,40,72,0.01,2,30,1,48,COMPLETE
32,295.8298034667969,2025-05-11 00:34:19.689706,2025-05-11 00:47:16.044239,0 days 00:12:56.354533,128,0.2,40,48,0.01,2,30,4,48,COMPLETE
9,297.21044921875,2025-05-10 17:26:06.464355,2025-05-10 17:46:36.945233,0 days 00:20:30.480878,128,0.3,80,72,0.001,3,30,1,48,COMPLETE
24,304.5734558105469,2025-05-10 22:31:01.013624,2025-05-10 22:50:23.820430,0 days 00:19:22.806806,128,0.5,40,72,0.01,2,30,1,48,COMPLETE
15,308.0473327636719,2025-05-10 19:36:22.128477,2025-05-10 19:56:49.498292,0 days 00:20:27.369815,128,0.4,80,72,0.001,2,30,4,48,COMPLETE
26,308.3460998535156,2025-05-10 23:00:12.083270,2025-05-10 23:21:57.835575,0 days 00:21:45.752305,128,0.5,40,72,0.01,2,30,1,48,COMPLETE
11,309.7366943359375,2025-05-10 18:08:37.528593,2025-05-10 18:31:38.738465,0 days 00:23:01.209872,128,0.3,80,72,0.001,3,30,4,48,COMPLETE
1,309.8942565917969,2025-05-10 12:41:01.237226,2025-05-10 12:57:51.634017,0 days 00:16:50.396791,128,0.4,20,72,0.01,1,30,1,48,COMPLETE
38,310.32708740234375,2025-05-11 04:02:56.173317,2025-05-11 04:22:21.279132,0 days 00:19:25.105815,128,0.1,40,72,0.01,3,30,4,48,COMPLETE
31,312.764892578125,2025-05-11 00:21:22.986873,2025-05-11 00:34:19.629389,0 days 00:12:56.642516,128,0.2,40,48,0.01,2,30,4,48,COMPLETE
14,312.9854736328125,2025-05-10 19:07:25.679569,2025-05-10 19:36:22.053569,0 days 00:28:56.374000,128,0.3,40,72,0.001,1,30,1,48,COMPLETE
21,314.173095703125,2025-05-10 21:29:08.590169,2025-05-10 21:43:44.097129,0 days 00:14:35.506960,128,0.2,40,72,0.01,2,30,1,48,COMPLETE
8,314.4120788574219,2025-05-10 16:52:08.366079,2025-05-10 17:26:06.407933,0 days 00:33:58.041854,128,0.1,240,72,0.0001,3,30,4,48,COMPLETE
12,314.4595642089844,2025-05-10 18:31:38.791758,2025-05-10 18:47:08.119736,0 days 00:15:29.327978,128,0.3,80,72,0.001,3,30,4,48,COMPLETE
13,318.0419616699219,2025-05-10 18:47:08.187535,2025-05-10 19:07:25.623492,0 days 00:20:17.435957,128,0.3,40,48,0.001,3,30,4,48,COMPLETE
20,321.9932861328125,2025-05-10 21:18:01.095525,2025-05-10 21:29:08.540958,0 days 00:11:07.445433,128,0.2,40,48,0.01,2,30,4,48,COMPLETE
30,331.35687255859375,2025-05-11 00:09:10.933148,2025-05-11 00:21:22.924214,0 days 00:12:11.991066,128,0.4,40,72,0.01,2,30,1,48,COMPLETE
7,333.6116943359375,2025-05-10 16:28:54.794471,2025-05-10 16:52:08.309157,0 days 00:23:13.514686,128,0.2,160,96,0.001,2,30,4,48,COMPLETE
16,342.36932373046875,2025-05-10 19:56:49.558997,2025-05-10 20:21:57.985819,0 days 00:25:08.426822,128,0.3,160,72,0.01,3,30,1,48,COMPLETE
10,343.7170715332031,2025-05-10 17:46:37.012263,2025-05-10 18:08:37.463539,0 days 00:22:00.451276,128,0.5,40,48,0.001,2,30,4,48,COMPLETE
18,343.9536437988281,2025-05-10 20:41:19.875086,2025-05-10 21:03:25.852232,0 days 00:22:05.977146,128,0.1,10,72,0.001,1,30,4,48,COMPLETE
33,345.09576416015625,2025-05-11 00:47:16.107411,2025-05-11 00:56:34.897068,0 days 00:09:18.789657,128,0.2,40,48,0.01,2,30,4,48,COMPLETE
22,349.30328369140625,2025-05-10 21:43:44.193594,2025-05-10 22:09:14.599133,0 days 00:25:30.405539,128,0.2,80,72,0.01,2,30,1,48,COMPLETE
17,353.5141296386719,2025-05-10 20:21:58.045105,2025-05-10 20:41:19.798433,0 days 00:19:21.753328,128,0.4,320,48,0.001,3,30,4,48,COMPLETE
36,358.80511474609375,2025-05-11 02:52:27.969266,2025-05-11 03:39:44.538621,0 days 00:47:16.569355,128,0.5,20,48,0.0001,2,30,1,48,COMPLETE
35,367.1859436035156,2025-05-11 01:52:24.336904,2025-05-11 02:52:27.919110,0 days 01:00:03.582206,128,0.4,240,96,0.01,1,30,4,48,COMPLETE
34,376.7163391113281,2025-05-11 00:56:35.079385,2025-05-11 01:52:24.276794,0 days 00:55:49.197409,128,0.2,10,48,0.0001,2,30,4,48,COMPLETE
3,384.7181396484375,2025-05-10 13:21:13.334759,2025-05-10 14:12:22.327195,0 days 00:51:08.992436,128,0.5,240,96,0.0001,3,30,1,48,COMPLETE
4,399.2142639160156,2025-05-10 14:12:22.399495,2025-05-10 15:18:17.053296,0 days 01:05:54.653801,128,0.2,10,72,0.0001,1,30,1,48,COMPLETE
25,401.185791015625,2025-05-10 22:50:23.870263,2025-05-10 23:00:12.022517,0 days 00:09:48.152254,128,0.5,40,72,0.01,2,30,1,48,COMPLETE
2,402.2064208984375,2025-05-10 12:57:51.685244,2025-05-10 13:21:13.265306,0 days 00:23:21.580062,128,0.4,240,96,0.001,3,30,1,48,COMPLETE
5,407.4541931152344,2025-05-10 15:18:17.119074,2025-05-10 16:08:01.020646,0 days 00:49:43.901572,128,0.1,20,96,0.0001,3,30,1,48,COMPLETE
6,562.4006958007812,2025-05-10 16:08:01.077890,2025-05-10 16:28:54.739305,0 days 00:20:53.661415,128,0.4,320,96,0.01,3,30,1,48,COMPLETE
37,566.0189819335938,2025-05-11 03:39:44.591959,2025-05-11 04:02:56.115079,0 days 00:23:11.523120,128,0.2,160,96,0.01,2,30,1,48,COMPLETE
